NOME_UNIDADE,NOME_DISCIPLINA,COD_TURMA,ITEM_TABELA,HR_INICIO,COD_DISCIPLINA,DIA_SEMANA,HR_FIM,TIPO_AULA,PERIODO_ITEM,ANO,DIA_SEMANA_ITEM,COD_ESTRUTURADO,CH_TOTAL,CREDITOS,PERIODO,COD_CURSO,NOME_SALA,DT_INICIO_PERIODO,DT_FIM_PERIODO,ID_TURMA,ESCOPO_ITEM,VAGAS_OCUPADAS,VAGAS_OFERECIDAS,VAGAS_AUMENTADAS,SITUACAO
Coord. Acadêmica do Instituto de Computação,MATEMÁTICA DISCRETA,01,5,16:00:00,ICC120,Quinta-feira,17:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE15,,08/09/2015,18/01/2016,123378,1,55,50,5,Matrícula
Coord. Acadêmica do Instituto de Computação,TRABALHO DE CONCLUSÃO DE CURSO,CB01,,,ICC150,,,,202,2015,,1.70.01.00.00.00.00.00,150,5, 2° Semestre,IE08,,,,122758,1,12,30,0,Matrícula
Coord. Acadêmica do Instituto de Computação,TRABALHO DE CONCLUSÃO DE CURSO,01,,,ICC150,,,,202,2015,,1.70.01.00.00.00.00.00,150,5, 2° Semestre,IE15,,,,123388,1,17,15,2,Matrícula
Coord. Acadêmica do Instituto de Computação,ESTÁGIO SUPERVISIONADO,01,,,ICC151,,,,202,2015,,1.70.01.00.00.00.00.00,180,6, 2° Semestre,IE15,,,,123389,1,17,15,2,Matrícula
Coord. Acadêmica do Instituto de Computação,TÓPICOS ESPECIAIS EM CIÊNCIA DA COMPUTAÇÃO II,CB01,3,16:00:00,ICC181,Terça-feira,17:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,,08/09/2015,18/01/2016,122734,3,2,15,0,Matrícula
Coord. Acadêmica do Instituto de Computação,TÓPICOS ESPECIAIS EM CIÊNCIA DA COMPUTAÇÃO II,CB01,5,16:00:00,ICC181,Quinta-feira,17:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,,08/09/2015,18/01/2016,122734,3,2,15,0,Matrícula
Coord. Acadêmica do Instituto de Computação,TÓPICOS AVANÇADOS EM CIÊNCIA DA COMPUTAÇÃO I,CB02,3,16:00:00,ICC182,Terça-feira,17:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,,08/09/2015,18/01/2016,128576,1,5,10,0,Matrícula
Coord. Acadêmica do Instituto de Computação,TÓPICOS AVANÇADOS EM CIÊNCIA DA COMPUTAÇÃO I,CB02,5,16:00:00,ICC182,Quinta-feira,17:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,,08/09/2015,18/01/2016,128576,1,5,10,0,Matrícula
Coord. Acadêmica do Instituto de Computação,BANCO DE DADOS I,CB01,2,08:00:00,ICC200,Segunda-feira,09:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - 1º ANDAR-BL. 6 SALA DE AULA 204,08/09/2015,18/01/2016,122745,3,38,40,0,Matrícula
Coord. Acadêmica do Instituto de Computação,BANCO DE DADOS I,CB01,4,08:00:00,ICC200,Quarta-feira,09:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - 1º ANDAR-BL. 6 SALA DE AULA 204,08/09/2015,18/01/2016,122745,3,38,40,0,Matrícula
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A BANCO DE DADOS,01,3,20:00:00,ICC205,Terça-feira,21:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE15,,08/09/2015,18/01/2016,123444,3,45,45,0,Matrícula
Coord. Acadêmica do Instituto de Computação,INTRODUÇÃO A BANCO DE DADOS,01,5,20:00:00,ICC205,Quinta-feira,21:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE15,,08/09/2015,18/01/2016,123444,3,45,45,0,Matrícula
Coord. Acadêmica do Instituto de Computação,PRÁTICA EM BANCO DE DADOS,01,2,20:00:00,ICC210,Segunda-feira,21:50:00,Prática,202,2015,2,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE15,,08/09/2015,18/01/2016,123703,1,16,35,0,Matrícula
Coord. Acadêmica do Instituto de Computação,PRÁTICA EM BANCO DE DADOS,01,4,20:00:00,ICC210,Quarta-feira,21:50:00,Prática,202,2015,4,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE15,,08/09/2015,18/01/2016,123703,1,16,35,0,Matrícula
